-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 execute_new_0_cached_4         0.00%       0.000us         0.00%       0.000us       0.000us     152.703ms        79.76%     152.703ms      10.907ms            14  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      96.755ms        50.54%      96.755ms     118.573us           816  
                                               aten::mm         0.21%     438.813us         0.27%     568.846us      33.462us      22.572ms        11.79%      22.572ms       1.328ms            17  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us      21.263ms        11.11%      21.263ms       1.329ms            16  
                                 execute_new_1_cached_0         0.00%       0.000us         0.00%       0.000us       0.000us      17.630ms         9.21%      17.630ms      17.630ms             1  
                                 execute_new_3_cached_1         0.00%       0.000us         0.00%       0.000us       0.000us      16.819ms         8.78%      16.819ms      16.819ms             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      16.793ms         8.77%      16.793ms      41.160us           408  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      16.030ms         8.37%      16.030ms      41.744us           384  
                                 execute_new_0_cached_3         0.00%       0.000us         0.00%       0.000us       0.000us      10.555ms         5.51%      10.555ms      10.555ms             1  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       8.350ms         4.36%       8.350ms      20.466us           408  
                                           aten::cumsum         0.05%     111.798us         0.11%     232.529us      13.678us       4.868ms         2.54%       4.881ms     287.131us            17  
void at::native::tensor_kernel_scan_innermost_dim<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       4.862ms         2.54%       4.862ms     303.864us            16  
                                             aten::sort         0.36%     754.228us         5.91%      12.454ms     732.598us       3.567ms         1.86%       5.586ms     328.586us            17  
                                            aten::copy_         0.72%       1.522ms         1.92%       4.056ms      13.750us       3.302ms         1.72%       3.354ms      11.369us           295  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.847ms         1.49%       2.847ms      17.907us           159  
                                         aten::_softmax         0.12%     256.173us         0.20%     416.124us      12.239us       2.664ms         1.39%       2.664ms      78.365us            34  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       2.664ms         1.39%       2.664ms      78.365us            34  
void vllm::moe::moe_align_block_size_small_batch_exp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.309ms         1.21%       2.309ms       5.660us           408  
